iter	Passed	Remaining
0	166	166566
1	171	85700
2	176	58760
3	184	45825
4	189	37638
5	195	32348
6	202	28753
7	210	26044
8	215	23751
9	221	21923
10	228	20527
11	234	19318
12	242	18409
13	248	17510
14	254	16711
15	261	16055
16	266	15398
17	271	14819
18	277	14334
19	283	13907
20	302	14100
21	308	13722
22	314	13359
23	321	13086
24	327	12765
25	332	12441
26	336	12129
27	341	11860
28	349	11710
29	355	11484
30	361	11290
31	367	11124
32	373	10941
33	378	10759
34	385	10641
35	392	10501
36	398	10362
37	403	10208
38	411	10130
39	416	9987
40	422	9892
41	430	9814
42	435	9700
43	442	9607
44	447	9497
45	453	9410
46	459	9324
47	465	9241
48	472	9162
49	479	9103
50	486	9053
51	491	8965
52	498	8902
53	503	8826
54	508	8744
55	516	8713
56	522	8649
57	529	8607
58	537	8573
59	545	8541
60	550	8476
61	557	8437
62	565	8411
63	572	8367
64	579	8329
65	586	8304
66	594	8274
67	599	8222
68	608	8208
69	613	8155
70	619	8101
71	624	8054
72	631	8014
73	637	7971
74	643	7938
75	651	7917
76	658	7887
77	663	7848
78	669	7806
79	675	7772
80	681	7733
81	687	7697
82	692	7651
83	699	7626
84	704	7586
85	710	7552
86	715	7511
87	721	7479
88	727	7443
89	732	7404
90	737	7366
91	743	7340
92	749	7308
93	754	7274
94	760	7244
95	767	7223
96	772	7195
97	777	7158
98	783	7127
99	791	7119
100	796	7087
101	802	7061
102	807	7029
103	811	6992
104	816	6961
105	822	6934
106	827	6908
107	833	6880
108	837	6842
109	841	6809
110	848	6797
111	854	6774
112	860	6751
113	866	6733
114	871	6705
115	877	6685
116	883	6665
117	889	6646
118	895	6627
119	902	6617
120	909	6603
121	914	6583
122	921	6568
123	927	6552
124	932	6526
125	937	6501
126	941	6471
127	946	6446
128	950	6416
129	954	6387
130	958	6356
131	962	6327
132	967	6309
133	972	6284
134	976	6256
135	982	6238
136	988	6228
137	993	6205
138	998	6182
139	1002	6156
140	1007	6135
141	1011	6110
142	1015	6085
143	1019	6058
144	1022	6030
145	1027	6009
146	1032	5991
147	1036	5968
148	1041	5948
149	1046	5930
150	1050	5909
151	1055	5889
152	1060	5873
153	1066	5858
154	1071	5838
155	1077	5827
156	1082	5813
157	1092	5823
158	1097	5807
159	1102	5790
160	1109	5779
161	1114	5765
162	1119	5749
163	1125	5736
164	1133	5737
165	1138	5722
166	1144	5708
167	1149	5692
168	1158	5695
169	1163	5681
170	1169	5669
171	1175	5659
172	1181	5645
173	1186	5634
174	1193	5625
175	1198	5611
176	1205	5603
177	1211	5592
178	1217	5583
179	1222	5567
180	1227	5554
181	1233	5544
182	1239	5532
183	1247	5530
184	1252	5518
185	1257	5503
186	1262	5488
187	1267	5474
188	1272	5460
189	1276	5442
190	1281	5429
191	1288	5420
192	1293	5410
193	1300	5401
194	1306	5393
195	1311	5380
196	1318	5372
197	1326	5372
198	1334	5371
199	1340	5363
200	1347	5355
201	1353	5348
202	1361	5346
203	1369	5344
204	1378	5344
205	1386	5342
206	1394	5342
207	1402	5341
208	1409	5335
209	1416	5329
210	1423	5323
211	1429	5312
212	1433	5295
213	1440	5291
214	1446	5282
215	1452	5273
216	1458	5263
217	1465	5255
218	1470	5244
219	1476	5236
220	1481	5221
221	1486	5209
222	1491	5196
223	1497	5186
224	1502	5176
225	1508	5167
226	1515	5161
227	1523	5157
228	1529	5150
229	1536	5143
230	1543	5138
231	1550	5131
232	1556	5124
233	1563	5117
234	1570	5112
235	1577	5108
236	1584	5100
237	1590	5091
238	1597	5086
239	1604	5081
240	1610	5072
241	1615	5061
242	1622	5054
243	1629	5047
244	1634	5037
245	1639	5025
246	1644	5013
247	1653	5013
248	1661	5011
249	1667	5001
250	1676	5002
251	1684	4999
252	1695	5005
253	1701	4998
254	1719	5023
255	1724	5012
256	1732	5008
257	1737	4996
258	1742	4984
259	1754	4994
260	1760	4986
261	1766	4974
262	1776	4978
263	1781	4965
264	1788	4961
265	1793	4949
266	1800	4943
267	1804	4929
268	1808	4913
269	1812	4899
270	1816	4886
271	1819	4870
272	1824	4857
273	1828	4845
274	1832	4831
275	1836	4817
276	1840	4803
277	1845	4792
278	1849	4779
279	1852	4764
280	1857	4752
281	1861	4739
282	1866	4729
283	1871	4719
284	1878	4712
285	1882	4698
286	1885	4685
287	1889	4671
288	1893	4658
289	1897	4646
290	1901	4632
291	1905	4619
292	1908	4606
293	1912	4593
294	1916	4580
295	1921	4569
296	1925	4556
297	1929	4544
298	1932	4531
299	1937	4520
300	1941	4509
301	1945	4496
302	1949	4483
303	1952	4471
304	1957	4461
305	1961	4448
306	1965	4436
307	1970	4426
308	1973	4413
309	1977	4402
310	1981	4390
311	1985	4377
312	1989	4365
313	1992	4353
314	1996	4342
315	2000	4330
316	2004	4318
317	2008	4307
318	2012	4295
319	2016	4284
320	2019	4272
321	2024	4262
322	2028	4250
323	2031	4239
324	2035	4228
325	2039	4216
326	2043	4205
327	2047	4194
328	2051	4183
329	2055	4172
330	2059	4162
331	2063	4152
332	2067	4141
333	2071	4130
